id,country,p.type,p.freq,p.year,p.area,loss_pa,subregion,climadomain,GDPpcPPP,income00
4489,Suriname,2,0.473566385,12,3310.02,826.4421,S America,Tropical,7853.3203,LM
4490,Suriname,3,0.011480397,12,655.47,826.4421,S America,Tropical,7853.3203,LM
4491,Suriname,1,99.19127669,13,6659.01,826.4421,S America,Tropical,7853.3203,LM
4492,Suriname,2,0.781462971,13,2208.06,826.4421,S America,Tropical,7853.3203,LM
4493,Suriname,3,0.027260336,13,615.51,826.4421,S America,Tropical,7853.3203,LM
4494,Swaziland,1,94.66334165,1,1458.72,654.2028,ES Africa,Tropical,4620.2274,LM
4495,Swaziland,2,4.837905237,1,3027.51,654.2028,ES Africa,Tropical,4620.2274,LM
4496,Swaziland,3,0.498753117,1,1703.7,654.2028,ES Africa,Tropical,4620.2274,LM
4497,Swaziland,1,93.5483871,2,802.26,654.2028,ES Africa,Tropical,4620.2274,LM
4498,Swaziland,2,5.561735261,2,1462.77,654.2028,ES Africa,Tropical,4620.2274,LM
4499,Swaziland,3,0.889877642,2,1117.08,654.2028,ES Africa,Tropical,4620.2274,LM
4500,Swaziland,1,93.79238393,3,1738.08,654.2028,ES Africa,Tropical,4620.2274,LM
4501,Swaziland,2,6.051121544,3,2863.17,654.2028,ES Africa,Tropical,4620.2274,LM
4502,Swaziland,3,0.156494523,3,593.82,654.2028,ES Africa,Tropical,4620.2274,LM
4503,Swaziland,1,95.02834714,4,1683.27,654.2028,ES Africa,Tropical,4620.2274,LM
4504,Swaziland,2,4.753597907,4,2699.1,654.2028,ES Africa,Tropical,4620.2274,LM
4505,Swaziland,3,0.21805495,4,591.48,654.2028,ES Africa,Tropical,4620.2274,LM
4506,Swaziland,1,92.70605398,5,1202.22,654.2028,ES Africa,Tropical,4620.2274,LM
4507,Swaziland,2,7.075127644,5,2429.91,654.2028,ES Africa,Tropical,4620.2274,LM
4508,Swaziland,3,0.218818381,5,579.15,654.2028,ES Africa,Tropical,4620.2274,LM
4509,Swaziland,1,93.33614509,6,1802.52,654.2028,ES Africa,Tropical,4620.2274,LM
4510,Swaziland,2,5.904681569,6,3619.44,654.2028,ES Africa,Tropical,4620.2274,LM
4511,Swaziland,3,0.759173345,6,2890.98,654.2028,ES Africa,Tropical,4620.2274,LM
4512,Swaziland,1,92.8742515,7,1650.6,654.2028,ES Africa,Tropical,4620.2274,LM
4513,Swaziland,2,6.646706587,7,2981.34,654.2028,ES Africa,Tropical,4620.2274,LM
4514,Swaziland,3,0.479041916,7,1451.61,654.2028,ES Africa,Tropical,4620.2274,LM
